dateff,mktrf,smb,hml,rf,umd
19411031,-0.052500,-0.020200,0.016300,0.00000,0.047400
19411129,-0.019200,-0.012100,-0.006400,0.00000,0.040400
19411231,-0.048700,-0.029800,-0.059400,0.00010,0.002800
19420131,0.007900,0.075200,0.101000,0.00020,-0.035800
19420228,-0.024600,0.017200,-0.011300,0.00010,-0.007100
19420331,-0.065800,0.017800,-0.006200,0.00010,-0.002100
19420430,-0.043700,-0.006000,0.020900,0.00010,-0.007900
19420529,0.059400,-0.030500,-0.026500,0.00030,-0.047100
19420630,0.026900,-0.012200,0.005400,0.00020,-0.013200
19420731,0.035100,-0.001600,0.024000,0.00030,0.007700
19420831,0.018000,-0.000900,0.013300,0.00030,-0.001300
19420930,0.026100,0.006600,0.023900,0.00030,-0.006400
19421031,0.068200,0.018200,0.064700,0.00030,-0.040100
19421130,0.001500,-0.015400,-0.042400,0.00030,-0.009700
19421231,0.051200,-0.024900,0.005600,0.00030,0.030600
19430130,0.071300,0.087800,0.082300,0.00030,-0.003600
19430227,0.061500,0.048400,0.065100,0.00030,-0.014600
19430331,0.060100,0.050300,0.054800,0.00030,0.047400
19430430,0.008100,0.020600,0.058600,0.00030,0.061800
19430529,0.057400,0.044100,0.032800,0.00030,0.056100
19430630,0.018200,-0.010600,-0.007400,0.00030,-0.013000
19430731,-0.047700,-0.024100,-0.022700,0.00030,-0.045900
19430831,0.013000,-0.006200,-0.004700,0.00030,0.007100
19430930,0.024000,0.012800,0.014300,0.00030,0.017800
19431030,-0.011500,0.005800,0.016500,0.00030,-0.005300
19431130,-0.059100,-0.016400,-0.040400,0.00030,-0.047200
19431231,0.063600,0.033400,0.032200,0.00030,0.059900
19440131,0.017400,0.025600,0.021700,0.00030,0.009700
19440229,0.003700,-0.001000,0.008300,0.00030,0.003400
19440331,0.024600,0.017100,0.034300,0.00020,0.026100
19440429,-0.016900,-0.013500,-0.011300,0.00030,0.005200
19440531,0.050700,0.016700,0.010200,0.00030,0.020700
19440630,0.054900,0.040400,0.018200,0.00030,-0.052200
19440731,-0.014900,0.005500,-0.004300,0.00030,0.001900
19440831,0.015700,0.024100,-0.016300,0.00030,0.046800
19440930,0.000100,0.004700,-0.012100,0.00020,-0.010800
19441031,0.001600,-0.001400,-0.003400,0.00030,-0.012400
19441130,0.017100,0.003700,0.023100,0.00030,0.012800
19441230,0.040300,0.022400,0.059100,0.00020,0.033600
19450131,0.020100,0.024400,0.007100,0.00030,0.000400
19450228,0.062300,0.015600,0.044000,0.00020,0.030300
19450331,-0.038900,-0.016100,-0.017800,0.00020,-0.032800
19450430,0.078000,0.003200,0.032100,0.00030,0.047900
19450531,0.017300,0.015100,0.003500,0.00030,0.001100
