,0
2014-02-28,-0.008642181009190758
2014-03-31,-0.03785904951963415
2014-04-30,-0.013965568276044222
2014-05-31,-0.011512310257735834
2014-06-30,-0.014590545656734934
2014-07-31,-0.0429383896266768
2014-08-31,-0.0017519005181457215
2014-09-30,-0.004110229547299199
2014-10-31,-0.02159424803389177
2014-11-30,-0.02981248722665572
2014-12-31,-0.006214691365740141
2015-01-31,0.01654722684597057
2015-02-28,0.01660510604615928
2015-03-31,-0.012291695119092394
2015-04-30,0.05396951792600946
2015-05-31,0.047304680102712965
2015-06-30,-0.03797456007862398
2015-07-31,0.04705582016421396
2015-08-31,0.01671652670146509
2015-09-30,-0.004669509490138911
2015-10-31,-0.028635369260114174
2015-11-30,-0.034097785556378345
2015-12-31,-0.018811874198904413
