"StatsDate","TenYearBondYield"
"2020-11-18","3.3310"
"2020-11-19","3.3584"
"2020-11-20","3.3714"
"2020-11-23","3.3336"
"2020-11-24","3.3246"
"2020-11-25","3.3242"
"2020-11-26","3.3219"
"2020-11-27","3.3260"
"2020-11-30","3.3210"
"2020-12-01","3.3146"
"2020-12-02","3.3427"
"2020-12-03","3.3407"
"2020-12-04","3.3314"
"2020-12-07","3.3352"
"2020-12-08","3.3070"
"2020-12-09","3.3007"
"2020-12-10","3.3123"
"2020-12-11","3.3189"
"2020-12-14","3.3397"
"2020-12-15","3.3171"
"2020-12-16","3.3260"
"2020-12-17","3.3238"
"2020-12-18","3.3326"
"2020-12-21","3.3219"
"2020-12-22","3.2953"
"2020-12-23","3.2763"
"2020-12-24","3.2827"
"2020-12-25","3.2953"
"2020-12-28","3.2363"
"2020-12-29","3.2352"
"2020-12-30","3.2220"
"2020-12-31","3.2174"
"2021-01-04","3.1713"
"2021-01-05","3.1749"
"2021-01-06","3.1401"
"2021-01-07","3.1354"
"2021-01-08","3.1574"
"2021-01-11","3.1704"
"2021-01-12","3.1713"
"2021-01-13","3.1518"
"2021-01-14","3.1075"
"2021-01-15","3.1294"
"2021-01-18","3.1662"
"2021-01-19","3.1776"
"2021-01-20","3.1777"
"2021-01-21","3.1665"
"2021-01-22","3.1494"
"2021-01-25","3.1412"
"2021-01-26","3.1671"
"2021-01-27","3.1740"
"2021-01-28","3.1983"
"2021-01-29","3.1969"
"2021-02-01","3.1817"
"2021-02-02","3.1868"
"2021-02-03","3.2155"
"2021-02-04","3.2220"
"2021-02-05","3.2315"
"2021-02-07","3.2164"
"2021-02-08","3.2404"
"2021-02-09","3.2474"
"2021-02-10","3.2436"
"2021-02-18","3.2920"
"2021-02-19","3.2710"
"2021-02-20","3.2666"
"2021-02-22","3.2917"
"2021-02-23","3.2832"
"2021-02-24","3.2611"
"2021-02-25","3.2925"
"2021-02-26","3.2908"
"2021-03-01","3.2774"
"2021-03-02","3.2557"
"2021-03-03","3.2683"
"2021-03-04","3.2762"
"2021-03-05","3.2855"
"2021-03-08","3.2692"
"2021-03-09","3.2692"
"2021-03-10","3.2649"
"2021-03-11","3.2624"
"2021-03-12","3.2711"
"2021-03-15","3.2907"
"2021-03-16","3.2811"
"2021-03-17","3.2739"
"2021-03-18","3.2744"
"2021-03-19","3.2593"
"2021-03-22","3.2522"
"2021-03-23","3.2484"
"2021-03-24","3.2127"
"2021-03-25","3.2236"
"2021-03-26","3.2165"
"2021-03-29","3.2306"
"2021-03-30","3.2145"
"2021-03-31","3.2234"
"2021-04-01","3.2176"
"2021-04-02","3.2161"
"2021-04-06","3.2285"
"2021-04-07","3.2349"
"2021-04-08","3.2485"
"2021-04-09","3.2396"
"2021-04-12","3.2268"
"2021-04-13","3.1863"
"2021-04-14","3.1890"
"2021-04-15","3.1866"
"2021-04-16","3.1868"
"2021-04-19","3.1795"
"2021-04-20","3.1697"
"2021-04-21","3.1799"
"2021-04-22","3.1786"
"2021-04-23","3.1811"
"2021-04-25","3.2076"
"2021-04-26","3.2119"
"2021-04-27","3.2171"
"2021-04-28","3.2157"
"2021-04-29","3.2036"
"2021-04-30","3.2039"
"2021-05-06","3.1725"
"2021-05-07","3.1750"
"2021-05-08","3.1798"
"2021-05-10","3.1823"
"2021-05-11","3.1646"
"2021-05-12","3.1531"
"2021-05-13","3.1749"
"2021-05-14","3.1562"
"2021-05-17","3.1683"
"2021-05-18","3.1691"
"2021-05-19","3.1580"
"2021-05-20","3.1366"
"2021-05-21","3.1095"
"2021-05-24","3.0987"
"2021-05-25","3.1113"
"2021-05-26","3.0960"
"2021-05-27","3.0994"
"2021-05-28","3.1178"
"2021-05-31","3.1084"
"2021-06-01","3.0946"
"2021-06-02","3.1053"
"2021-06-03","3.1182"
"2021-06-04","3.1208"
"2021-06-07","3.1754"
"2021-06-08","3.1613"
"2021-06-09","3.1739"
"2021-06-10","3.1541"
"2021-06-11","3.1576"
"2021-06-15","3.1603"
"2021-06-16","3.1785"
"2021-06-17","3.1842"
"2021-06-18","3.1908"
