index,0,1,2,3
539,1.077164751,1.077164751,1.329723806,0.672524493
540,,,,0.272267737
541,0.4398185,0.4398185,0.675716373,0.296427474
543,1.267661618,1.267661618,1.564419547,0.875455398
544,0.111542258,0.111542258,0.207828362,0.101337972
545,,,0.600436731,0.23061928
546,0.757556251,0.757556251,1.288454919,0.46971177
547,0.131804887,0.131804887,0.297111185,0.09719195
548,0.085396118,0.085396118,0.136593392,0.058373435
550,3.420047406,3.420047406,4.263941445,1.362987083
551,1.014075669,1.014075669,1.283617316,0.611911306
552,0.468394471,0.468394471,0.698985424,0.327715766
553,0.653722809,0.653722809,1.230793505,0.557205473
554,0.803852502,0.803852502,1.250181026,0.519241948
555,0.57191943,0.57191943,1.008767825,0.376710261
557,0.084575612,0.084575612,0.152120664,0.064386958
558,0.160882236,0.160882236,0.187890133,0.011565211
559,0.522814739,0.522814739,0.806039629,0.31673177
560,0.623081455,0.623081455,0.971995618,0.504398009
561,0.177177982,0.177177982,0.360701699,0.111982079
563,,,,
564,0.752969013,0.752969013,1.062711764,0.203202833
565,0.27851232,0.27851232,0.341745009,0.090605141
566,0.250737516,0.250737516,0.361358619,0.16439799
567,0.045950669,0.045950669,0.068922824,0.035132182
568,0.133105961,0.133105961,0.219210198,0.06767998
570,0.948549154,0.948549154,1.386316083,0.531851777
571,0.508790556,0.508790556,0.568905014,0.386783018
572,0.917578716,0.917578716,1.440778199,0.709690563
573,0.122921817,0.122921817,0.460602361,0.102054597
576,0.10050122,0.10050122,0.153994361,0.049036412
581,0.419427401,0.419427401,0.590345968,0.283603742
582,0.268926106,0.268926106,0.365899439,0.150662319
584,0.312085091,0.312085091,0.618587614,0.172970621
585,0.017378988,0.017378988,0.025736835,0.033509994
586,0.141630419,0.141630419,0.190655963,0.072503688
587,1.632517173,1.632517173,2.099763388,0.207051744
589,1.905216907,1.905216907,2.627342634,0.991135048
590,0.06240546,0.06240546,0.102094995,0.056540996
591,0.301459734,0.301459734,0.56588791,0.207084986
592,0.13658855,0.13658855,0.181360008,0.065495058
593,0.162063653,0.162063653,0.272770654,0.153022096
595,0.103416977,0.103416977,0.222698487,0.062070858
596,0.211798593,0.211798593,0.419639443,0.131721416
597,0.79660342,0.79660342,1.290230206,0.611500574
598,0.226254949,0.226254949,0.345644893,0.155560158
599,0.776203544,0.776203544,1.211393848,0.574166988
600,1.130100593,1.130100593,1.553962877,0.58029591
601,0.542360166,0.542360166,0.852887256,0.423931946
603,0.278591563,0.278591563,0.348105334,0.150034788
605,0.382223474,0.382223474,0.468140795,0.261887464
606,0.13828564,0.13828564,0.161338528,0.166661711
607,0.284974905,0.284974905,0.424467598,0.13682824
608,0.068006635,0.068006635,0.078607454,0.026203029
609,0.01255437,0.01255437,0.018770831,0.012149301
610,0.391936049,0.391936049,0.499632029,0.153327007
611,0.008729794,0.008729794,0.009957838,0.012450629
612,0.65173127,0.65173127,1.039760852,0.364730609
613,0.009717492,0.009717492,0.014310819,0.008669348
615,0.352880276,0.352880276,0.694383179,0.329112191
616,0.048880952,0.048880952,0.078303809,0.02405891
