,0,1,2,3
48,0.019963291,0.086741731,0.086741731,0.026014113
49,0.037456734,0.059579905,0.059579905,0.031074436
50,0.02108404,0.016387887,0.016387887,0.010131509
55,0.041999928,0.210732274,0.210732274,0.011750893
56,0.014450473,0.008952374,0.008952374,0.008834889
58,0.032032667,0.003303257,0.003303257,0.016770203
59,0.036969311,0.034618361,0.034618361,0.020951843
60,0.03998378,0.046629882,0.046629882,0.024116887
61,0.005189885,0.005275135,0.005275135,0.007178123
62,0.055510361,0.074701695,0.074701695,0.036859601
63,-0.058868977,-0.053724672,-0.053724672,0.012963792
65,0.038640479,0.053966282,0.053966282,0.032024387
66,0.016055729,0.066013677,0.066013677,0.009502178
68,-0.014844191,-0.040563645,-0.040563645,-0.012908791
69,0.019655496,0.038394276,0.038394276,0.008714559
70,0.026654328,0.04146417,0.04146417,0.009997241
78,0.017253415,0.016858818,0.016858818,0.008979183
88,0.032947859,0.047116533,0.047116533,0.016092113
89,0.043053497,0.050679148,0.050679148,0.022469451
90,0.005789439,0.024428232,0.024428232,0.006876545
96,0.037421066,0.042203549,0.042203549,0.014088096
99,0.017705756,0.028101418,0.028101418,0.015509638
100,0.015758912,0.02108899,0.02108899,0.017698206
150,0.027107088,0.024253807,0.024253807,0.002008353
151,0.027301686,0.038663669,0.038663669,-0.006222106
153,0.018999907,0.02018201,0.02018201,0.017574863
155,0.007226372,0.056844609,0.056844609,0.046083068
156,0.033130692,0.043605269,0.043605269,0.026162401
157,0.014807387,0.020936239,0.020936239,0.025321206
158,0.002956667,0.012934961,0.012934961,0.002057443
159,0.008466973,0.018187011,0.018187011,0.003407642
166,0.009675005,0.012215998,0.012215998,0.00852817
301,0.028672144,0.024244616,0.024244616,0.026145888
333,0.074382142,0.08210215,0.08210215,0.056542256
338,0.040379676,0.056634646,0.056634646,0.029666061
400,0.013545028,0.018776939,0.018776939,0.013878861
401,0.038533209,0.041288684,0.041288684,0.040129256
402,0.008432539,0.027183525,0.027183525,0.009061817
403,0.059458818,0.056877862,0.056877862,0.057487581
404,0.014530583,0.016226131,0.016226131,0.009287187
407,0.022711336,0.028300834,0.028300834,0.019635101
408,0.090538742,0.090583664,0.090583664,0.024526021
409,0.029771215,0.026564751,0.026564751,-0.025925834
410,-0.010248669,-0.042373339,-0.042373339,-0.086313272
411,0.018709098,0.024894573,0.024894573,0.01871048
413,0.020139699,0.031261357,0.031261357,0.012344012
415,0.008708588,0.009321546,0.009321546,0.009895943
416,0.01953559,0.024646136,0.024646136,0.022138913
417,0.020879386,0.029850971,0.029850971,0.019455692
418,0.076791408,0.09044241,0.09044241,
419,0.026297623,0.034156715,0.034156715,0.017643389
420,0.017990184,0.019716423,0.019716423,0.010055931
421,0.015484366,0.021078942,0.021078942,0.00871705
422,0.016239276,0.013121229,0.013121229,0.003169687
423,0.100240448,0.150440656,0.150440656,0.014522615
425,0.02579042,0.033561717,0.033561717,0.033015631
426,0.058630629,-0.019101196,-0.019101196,-0.008662094
428,-0.037856219,-0.097032513,-0.097032513,-0.023739526
429,0.087927505,0.116798651,0.116798651,0.051423202
430,0.02188459,0.010010484,0.010010484,0.00318595
488,0.024225607,0.024352098,0.024352098,0.005035708
498,0.016489195,0.028340586,0.028340586,0.00919674
501,0.037006082,0.045875911,0.045875911,0.026711089
502,0.104989961,0.183223901,0.183223901,-0.003987476
503,-0.087392463,-0.147390301,-0.147390301,-0.098332004
504,-0.060483876,-0.111028125,-0.111028125,-0.039999773
