MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9714,2001/1/19,2,0.011945,0.002745,-0.000195,-0.000523,-0.00129
P9709,2001/2/5,1,-0.026055,-0.001924,0.001211,-0.005702,0.005297
P9709,2001/2/5,2,-0.026055,-0.00187,0.001696,-0.0021,0.005031
P9709,2001/2/5,3,-0.026055,-0.003044,0.002443,-0.001969,0.003645
P9713,2001/2/5,2,-0.026055,-0.001548,0.000649,-0.001796,0.004615
P9713,2001/2/5,3,-0.026055,-0.002699,0.001436,-0.001983,0.00345
P9713,2001/2/5,1,-0.026055,-0.001627,-0.00005,-0.004904,0.004788
P9714,2001/2/5,1,-0.026055,-0.001924,0.001211,-0.005702,0.005297
P9714,2001/2/5,2,-0.026055,-0.00187,0.001696,-0.0021,0.005031
P9714,2001/2/5,3,-0.026055,-0.003044,0.002443,-0.001969,0.003645
P9709,2001/2/6,1,-0.005055,-0.002425,0.007274,0.001724,0.000772
P9709,2001/2/6,2,-0.005055,-0.002492,0.004908,0.001743,0.001236
P9709,2001/2/6,3,-0.005055,-0.001386,0.005821,0.003121,0.001418
P9713,2001/2/6,3,-0.005055,-0.001472,0.005865,0.003017,0.001045
P9713,2001/2/6,2,-0.005055,-0.0023,0.005142,0.001602,0.000982
P9713,2001/2/6,1,-0.005055,-0.002271,0.007572,0.00143,0.000531
P9714,2001/2/6,1,-0.005055,-0.002425,0.007274,0.001724,0.000772
P9714,2001/2/6,2,-0.005055,-0.002492,0.004908,0.001743,0.001236
P9714,2001/2/6,3,-0.005055,-0.001386,0.005821,0.003121,0.001418
P9709,2001/2/7,1,-0.008055,-0.003345,0.007489,-0.00114,-0.001423
P9709,2001/2/7,2,-0.008055,-0.003061,0.004841,0.000701,-0.000861
P9709,2001/2/7,3,-0.008055,-0.003902,0.004364,0.001527,-0.000625
P9713,2001/2/7,1,-0.008055,-0.00284,0.006898,-0.001388,-0.001008
P9713,2001/2/7,2,-0.008055,-0.002558,0.004692,0.000427,-0.000789
P9713,2001/2/7,3,-0.008055,-0.003099,0.004272,0.001351,-0.000559
P9714,2001/2/7,3,-0.008055,-0.003902,0.004364,0.001527,-0.000625
P9714,2001/2/7,1,-0.008055,-0.003345,0.007489,-0.00114,-0.001423
