index,0,1,2,3
49,0.068599816,0.068599816,0.089293335,0.04244569
50,0.051239397,0.051239397,0.048968502,0.023380438
55,0.099358803,0.099358803,0.826141475,0.036942215
56,0.015973477,0.015973477,0.026908263,0.028764148
58,0.042044453,0.042044453,0.004000415,0.018658503
59,0.096078333,0.096078333,0.11827937,0.056313755
60,0.04812019,0.04812019,0.064345001,0.02863238
61,0.011335486,0.011335486,0.01217771,0.014837368
62,0.039608316,0.039608316,0.064039292,0.02753906
63,-0.116254164,-0.116254164,-0.103206773,0.016318261
65,0.067833922,0.067833922,0.104538976,0.055647425
66,0.012311591,0.012311591,0.075902376,0.005139191
68,-0.017164151,-0.017164151,-0.032650061,-0.011205929
69,0.104100627,0.104100627,0.216798734,0.051139973
70,0.041848961,0.041848961,0.070351776,0.007856784
78,0.059396804,0.059396804,0.0879113,0.039096316
88,0.028882657,0.028882657,0.050021363,0.015961203
89,0.033956645,0.033956645,0.042678422,0.017180474
90,0.020450253,0.020450253,0.117272612,0.025210661
96,0.01833409,0.01833409,0.022872723,0.00745508
99,0.02547872,0.02547872,0.046560291,0.021219248
100,0.07553489,0.07553489,0.122458121,0.060661414
150,0.023296825,0.023296825,0.021731253,0.003323574
151,0.019629529,0.019629529,0.027524144,-0.004023183
153,0.028322551,0.028322551,0.037176551,0.02893274
155,0.008416454,0.008416454,0.089880089,0.061555071
156,0.03779516,0.03779516,0.056674378,0.025641426
157,0.053729557,0.053729557,0.085605478,0.066619278
158,0.004021561,0.004021561,0.021202561,0.003104441
159,0.011690336,0.011690336,0.024543636,0.002490164
166,0.033284361,0.033284361,0.046312122,0.028630929
301,0.02456598,0.02456598,0.032656158,0.035951721
333,0.07148179,0.07148179,0.088633889,0.04467167
338,0.15546481,0.15546481,0.249386523,0.093617663
400,0.021320691,0.021320691,0.030534228,0.02156003
401,0.155128023,0.155128023,0.153433093,0.10711688
402,0.058108277,0.058108277,0.209753679,0.059482695
403,0.011247282,0.011247282,0.010918593,0.010457063
404,0.049264368,0.049264368,0.060965127,0.03207078
407,0.034955159,0.034955159,0.055408456,0.037486991
408,0.031098393,0.031098393,0.038004544,0.014375621
409,0.064637041,0.064637041,0.044039054,-0.044799184
