,0,1,2,3
2226,4,5,10,10
2227,3,2,2,2
2228,5,5,8,8
2229,5,4,7,6
2230,7,7,8,5
2231,4,3,2,5
2232,6,6,3,3
2233,10,8,4,5
2234,8,9,9,8
2235,7,7,6,6
2236,6,6,4,6
2237,6,2,4,2
2238,4,4,6,5
2239,7,5,5,4
2240,7,8,4,4
2241,3,5,5,6
2242,6,2,3,3
2243,6,5,5,8
2244,5,6,6,5
2245,6,6,5,3
2246,7,9,7,7
2247,3,3,5,3
2248,5,2,7,6
2249,6,4,6,7
2250,5,5,6,6
2251,6,6,3,2
2252,6,4,5,6
2253,8,6,4,4
2254,6,5,4,4
2255,4,3,5,4
2256,4,5,4,2
2258,6,6,6,7
2259,3,3,4,4
2260,4,4,3,3
2261,2,2,5,8
2262,6,6,8,8
2263,7,7,8,10
2264,5,5,7,6
2265,4,3,2,2
2266,6,5,5,5
2267,4,5,5,5
2268,6,3,7,6
2269,6,6,2,0
2270,2,5,6,8
2271,4,2,5,6
2272,4,3,6,6
2273,6,6,5,4
2274,6,7,7,7
2275,6,5,5,4
2276,6,6,5,7
2277,6,6,3,3
2278,5,5,6,9
2279,7,3,4,3
2280,6,5,2,6
2281,4,4,5,4
2282,4,6,5,6
2283,7,7,8,7
2284,6,6,2,1
2285,3,5,4,6
2286,5,4,4,5
2287,9,8,5,1
2288,9,4,3,3
2289,2,0,3,3
2290,7,6,7,5
2291,7,7,5,5
2292,4,2,5,7
2293,5,6,7,6
2294,4,4,3,3
2295,4,3,6,4
2296,7,9,8,7
2297,8,6,2,3
2298,7,6,5,3
2299,8,7,8,9
2300,3,5,6,6
2301,2,2,4,4
2302,9,9,6,6
2303,8,7,3,4
2304,10,9,7,5
2305,5,6,5,7
2306,3,6,5,5
2307,3,6,4,2
2308,5,4,6,6
2309,8,6,4,4
2310,3,3,2,3
2311,4,4,4,7
2312,5,2,6,5
2313,3,3,2,3
2314,3,1,5,2
2315,5,4,5,6
2316,7,7,5,6
2317,4,7,3,8
2318,10,10,6,6
2319,4,5,3,5
2320,5,6,5,5
2321,8,7,5,6
2322,5,5,4,4
2323,5,4,0,2
2324,6,5,6,7
2325,4,5,5,8
2326,8,7,5,5
2327,6,7,5,5
2328,7,6,3,4
2329,4,4,7,6
2330,4,4,5,5
2331,5,4,7,6
2332,8,8,9,9
2333,2,1,4,4
2334,3,4,2,3
2335,5,3,4,5
2336,6,5,3,2
2337,4,6,6,3
2338,5,6,5,5
2339,7,6,4,5
2340,6,6,4,7
2341,5,5,3,4
2342,7,6,7,6
2343,8,6,5,6
2344,5,6,4,4
2345,7,6,1,4
2346,4,3,5,4
2347,5,5,1,8
2348,4,5,5,7
2349,8,7,3,3
2350,7,6,5,4
2351,6,4,9,6
2352,6,5,4,4
2353,7,6,6,6
2354,5,1,4,4
2355,5,4,6,7
2356,3,3,1,2
2357,5,5,6,8
2358,5,5,3,3
2359,5,2,3,3
2360,9,9,4,2
2361,5,5,7,6
2362,4,3,4,3
2363,7,6,4,2
2364,7,6,6,4
2365,6,6,5,5
2366,6,4,4,4
2367,3,3,6,5
2368,6,7,7,5
2369,7,3,4,3
2370,5,3,3,3
2371,4,8,4,6
2372,8,8,8,4
2373,6,7,5,6
2374,5,0,3,4
2375,4,3,6,5
2376,6,7,7,5
2377,8,8,6,6
2378,8,6,3,2
2379,4,4,6,5
2380,5,7,6,6
2381,8,8,6,6
2382,3,3,9,8
2383,7,6,3,2
2384,4,4,6,8
2385,5,5,4,4
2386,6,6,7,5
2387,5,5,6,5
2388,5,5,5,7
2389,4,6,6,7
2390,9,4,6,5
2391,7,6,3,3
2392,8,6,5,4
2393,8,9,6,5
2394,9,9,6,6
2395,7,6,4,5
2396,6,7,7,7
2397,7,6,6,6
2398,7,6,6,6
2399,6,6,6,5
2400,6,9,6,5
2401,7,6,4,4
2402,2,4,5,5
2403,4,4,5,5
2404,4,5,6,6
2405,8,6,4,3
2406,7,9,5,4
2407,4,5,4,5
2408,3,4,3,4
2409,4,6,7,7
2410,4,5,3,3
2411,6,4,1,3
2412,8,6,6,5
2413,5,4,6,4
2414,2,2,7,7
2415,5,4,5,6
2416,5,5,6,7
2417,7,3,5,5
2418,4,4,7,5
2419,7,6,6,6
2420,6,4,4,3
2421,5,2,5,4
2422,8,9,7,5
2423,0,1,2,2
2424,4,4,2,1
2425,6,6,8,8
2426,5,5,2,2
2427,4,3,4,5
2428,8,8,2,2
2429,5,5,7,6
2430,9,9,6,4
2431,3,4,4,2
2432,3,5,8,3
2433,5,4,6,5
2434,4,5,4,4
2435,6,5,4,7
2436,8,6,4,7
2437,8,7,7,5
2438,5,6,7,9
2439,6,8,5,3
2440,10,7,4,3
2441,7,7,8,7
2442,8,6,6,4
2443,5,5,8,8
2444,6,6,6,7
2445,2,1,1,3
2446,4,2,3,4
2447,3,2,5,5
2448,6,5,4,3
2449,8,7,5,5
2450,8,5,4,4
2451,6,4,7,7
2452,3,2,5,4
2453,6,5,5,6
2454,6,5,5,6
2455,7,5,3,1
2456,4,3,5,5
2457,7,5,6,7
2458,7,9,8,8
2459,7,3,2,3
2460,7,4,4,4
2461,5,4,6,6
2462,6,6,9,6
2463,9,9,7,8
2464,6,5,3,4
2465,8,7,10,9
2466,7,1,2,2
2467,6,6,5,6
2468,5,4,4,4
2469,5,4,5,6
2470,7,5,6,5
2471,6,5,3,3
2472,6,5,5,2
2473,6,6,4,3
2474,6,7,4,3
2475,4,6,6,5
2476,5,3,6,6
2477,3,4,1,1
2478,4,6,8,8
2479,5,4,3,3
2480,6,7,5,3
2481,5,7,5,5
2482,6,2,5,5
2483,5,5,5,5
2484,6,6,3,3
2485,6,5,3,6
2486,10,8,7,3
2487,7,5,7,5
2488,6,4,5,4
2489,4,4,8,7
2490,8,8,7,5
2491,4,3,5,5
2492,8,7,5,4
2493,2,3,3,3
2494,6,7,5,4
2495,7,6,3,2
2496,6,6,2,2
2497,5,5,4,5
2498,6,6,8,8
2499,5,1,3,2
2500,1,1,1,1
2501,2,0,3,3
2502,5,2,3,3
2503,5,4,2,5
2504,2,4,4,2
2505,7,5,5,5
2506,5,7,3,3
2507,7,7,7,6
2508,5,4,7,5
2509,3,1,2,1
2510,2,3,6,6
2511,6,8,6,6
2512,5,3,5,6
2513,4,0,4,5
2514,4,7,8,8
2515,5,5,8,7
2516,8,5,4,2
2517,4,2,5,4
2518,5,5,5,3
2519,9,2,7,7
2520,7,5,5,4
2521,6,6,5,6
2522,6,4,8,6
2523,4,4,5,4
2524,6,3,10,9
2526,7,7,6,7
2527,5,4,6,6
2528,5,3,5,3
2529,3,2,5,4
2530,7,6,4,7
2531,2,2,7,6
2532,3,6,6,8
2533,5,3,2,4
2534,7,6,7,5
2535,8,5,4,4
2536,3,2,3,3
2537,8,6,5,4
2538,4,5,4,6
2539,8,5,6,7
2540,4,6,5,3
2541,7,5,4,5
2542,4,5,6,6
2543,6,8,9,8
2544,8,5,3,3
2545,8,8,7,8
2546,7,6,7,6
2547,7,8,6,6
2548,2,1,6,5
2549,7,6,3,5
2550,6,6,7,6
2551,7,8,4,3
2552,10,9,7,6
2553,6,6,3,3
2554,4,3,8,6
2555,7,6,8,8
2556,6,2,3,4
2557,8,8,8,8
2558,5,6,5,4
2559,7,7,4,2
2560,4,3,4,7
2561,7,5,4,6
2562,7,4,2,3
2563,6,5,6,7
2564,5,3,4,5
2565,7,6,8,7
2566,8,7,6,8
2567,5,4,4,5
2568,6,5,8,7
2569,4,2,5,4
2570,5,5,2,4
2571,3,1,5,6
2572,8,6,3,4
2573,7,6,3,2
2574,4,4,5,5
2575,5,6,5,4
2576,5,5,7,5
2577,4,3,7,2
2578,7,5,6,7
2579,3,4,6,6
2580,6,6,7,7
2581,4,3,8,7
2582,7,6,6,5
2583,6,9,7,7
2584,2,2,4,7
2585,6,7,5,6
2586,7,4,6,6
2587,7,7,4,5
2588,5,5,4,6
2589,5,6,5,5
2590,4,3,4,3
2591,6,6,6,6
2592,4,3,3,5
2593,7,7,4,5
2594,5,7,6,4
2595,5,5,5,2
2596,5,4,4,3
2597,8,7,5,6
2598,3,2,6,6
2599,8,7,7,7
2600,4,5,8,5
2601,5,6,3,3
2602,5,4,5,6
2603,8,6,8,6
2604,4,5,4,3
2605,5,6,6,6
2606,2,2,5,6
2607,6,6,7,7
2608,5,5,5,4
2609,2,3,6,6
2610,7,8,7,6
2611,8,2,6,7
2612,7,7,9,8
2613,8,5,5,3
2614,7,7,7,5
2615,6,5,6,4
2616,5,5,5,4
2617,6,2,4,5
2618,7,9,5,5
2619,7,7,6,3
2620,6,3,4,4
2621,3,5,3,3
2622,7,6,5,4
2623,6,6,7,5
2624,9,6,7,4
2625,3,7,6,8
2626,7,5,5,6
2627,5,5,6,5
2628,5,3,3,4
2629,1,2,3,4
2630,5,3,2,3
2631,6,6,3,3
2632,9,8,4,3
2633,3,5,1,1
2634,5,5,5,6
2635,7,7,4,3
2636,6,5,3,4
2637,6,6,5,6
2638,2,3,6,6
2639,6,5,6,5
2640,5,7,6,5
2641,7,6,8,8
2642,5,1,6,6
2643,5,7,7,6
2644,6,5,5,4
2645,7,7,7,7
2646,4,5,3,3
2647,2,2,2,2
2648,4,4,5,5
2649,7,4,5,4
2650,6,6,7,8
2651,8,5,4,6
2652,4,5,3,4
2653,5,6,7,7
2654,5,2,6,6
2655,5,7,7,7
2656,7,6,5,5
2657,6,6,4,4
2658,5,4,6,6
2659,2,2,7,5
2660,4,1,6,6
2661,5,5,3,4
2662,8,4,1,0
2663,5,6,4,3
2664,4,6,8,8
2665,5,3,4,5
2666,4,4,5,5
2667,5,5,5,7
2668,7,5,4,3
2669,4,6,7,6
2670,1,1,2,2
2671,9,6,3,3
2672,8,5,5,5
2673,1,1,1,1
2674,7,4,5,5
2675,7,8,8,8
2676,2,6,6,7
2677,5,5,7,6
2678,8,6,5,4
2679,7,2,5,7
2680,0,0,1,1
2681,6,1,6,5
2682,4,5,3,4
2683,7,7,6,6
2684,3,3,5,5
2685,8,7,5,4
2686,4,4,5,4
