Stkcd,0,1,2,3
663,1328208.0,1862075.52,1930631.77,1377201.0
665,4554897.17,6030785.64,5667548.42,5279737.74
666,3164132.3,4094586.79,3654308.64,3586799.32
667,6349795.83,7111771.33,6679985.21,6974846.7
668,1452215.09,1877611.43,2370484.43,2242865.53
669,3919128.6,4307691.77,3101806.05,2679111.91
670,1906780.58,3549729.89,1368381.41,1422396.47
671,16822703.23,33165265.79,25737835.0,23434139.9
672,6866835.24,9250701.03,9982988.82,10830134.66
673,3692536.69,4109816.95,3020585.16,2289580.04
676,3008879.41,3352990.08,4570399.54,3903408.98
677,2246342.66,3896540.55,2833847.67,2721530.54
678,2145398.99,3771611.42,3312496.03,3125360.22
679,1371949.89,1799570.64,1400457.94,1300679.77
680,3456132.22,4333376.78,4375689.92,3678116.16
681,7239987.2,8183793.42,6016764.66,13527693.04
682,3237236.67,5985464.77,4596706.9,4665168.49
683,6768622.48,8510757.38,9233610.04,8172275.55
685,8772609.36,10852971.0,10702583.41,9963177.77
686,14651235.25,23825810.67,20619390.18,19027882.2
687,5345337.08,6971524.13,5315222.5,5322142.41
688,13124384.23,13818134.18,12123564.64,11657273.69
690,13723778.28,16680610.15,13396719.07,12879878.17
691,1330427.25,1493099.58,1167754.93,1109657.67
692,1363931.85,1800816.27,1640980.51,1529095.48
693,,,98118.84,
695,1995492.05,2396807.67,1940061.72,1833635.47
697,5622305.99,6420954.78,5091335.56,5958022.72
698,2859885.17,3480574.53,3182015.09,3119168.09
700,2057282.51,2768423.04,2711056.67,2682368.24
701,2290039.77,3167515.71,2496604.16,2297363.77
702,1482488.24,1783785.31,1653134.37,1645135.33
703,26191821.38,34854220.64,31192020.65,29697346.18
705,1708820.85,2131796.31,1886470.54,1742658.89
707,1341376.93,1805521.19,1392432.8,1373867.02
708,3941312.37,5604123.75,5707487.7,7199523.85
709,30151981.42,36309780.45,31744508.88,26754569.35
710,1984116.2,2711832.8,2217980.68,7132258.37
711,2530652.57,2949586.59,2271100.42,1942827.18
712,8124102.77,11390714.17,10220598.87,10156919.13
713,1368851.93,1757390.69,3865960.64,3388057.97
715,1618466.1,2532151.02,2980639.82,2955207.68
716,1649759.39,3328571.1,2684376.68,1997561.04
717,11008801.6,13815484.38,10718493.14,8952240.32
718,7280042.32,9294645.22,7921162.87,8447714.16
719,5250451.16,5830869.53,4736747.56,4609989.52
720,2996206.2,4774933.8,4610876.4,3946012.2
721,1730107.92,2536329.49,1878472.32,1747720.18
722,2798874.44,4140291.88,3499753.45,3114502.07
723,3470785.04,9979858.56,11298973.12,34550024.58
725,89051137.59,132053020.6,116477536.2,126974060.8
726,5446957.59,5964550.73,5364167.92,5184352.88
727,4308062.79,7942074.93,6125068.2,6330216.76
728,20564127.0,30786998.94,27015959.83,25159946.78
729,14153261.46,16085532.97,16662704.98,14579866.86
731,2969251.45,4122645.93,3436524.09,3087548.32
732,17427696.97,23543550.68,20510402.52,14941532.49
733,5134603.86,7227870.16,7734759.75,7453154.42
735,10235773.82,13117896.47,11359252.8,10507596.57
736,3312225.84,4123565.15,4097709.28,3418324.06
737,1552990.8,2463932.4,1745056.8,1679205.6
738,13816350.85,17837527.59,15351500.95,15614996.86
739,8532371.04,12752683.6,10952193.28,13566928.69
750,18379748.28,25967717.76,21204159.14,20824760.67
751,4018116.33,5216501.9,4976828.32,4285993.79
752,1859460.1,2139038.49,1155262.19,1047121.21
753,2599390.84,3165244.63,2811586.01,2555183.52
755,1867673.19,2294704.0,1989681.99,1844209.96
756,2217197.67,3056137.33,2856389.79,2676617.01
757,2375519.1,2560683.13,2172290.28,2267130.39
758,7187546.62,9530806.16,10810769.79,8644741.82
759,3593438.75,4934393.73,4777854.34,5022903.22
760,2153121.64,2035321.67,1034021.94,916221.98
761,9192960.0,11573280.0,14944097.59,13102150.68
762,3207910.78,4007508.73,4062205.04,3666400.45
766,3934133.5,5081111.2,4203729.97,5019872.14
767,7193368.82,8533024.55,8358286.85,7338981.47
768,36656635.33,47205108.18,43605891.72,43052166.12
776,75056615.76,95714942.97,81331064.72,80324785.17
777,3845567.71,5628408.17,5271840.08,4796415.95
778,16899723.44,20075773.55,17409549.79,15292172.11
779,1616443.64,2390173.88,1978139.22,2157122.6
780,3042918.97,3773219.53,3712361.15,3063205.1
782,1905773.46,2361016.77,1968257.84,1606741.09
783,28476386.8,41636413.87,43185160.55,38706388.51
785,1639641.85,2767052.55,2548601.03,2556133.85
786,19456386.71,28491729.08,25635486.26,25451668.66
788,3111043.98,4821522.18,3951396.63,3718961.53
789,6679379.58,9482388.28,7989494.81,7391478.73
790,2272674.19,3005975.47,2617023.52,2567761.9
791,4913715.15,6302390.0,5845976.55,5043854.19
792,19194301.97,18561824.97,16939383.97,21064233.96
793,5703549.74,9113200.64,6514968.97,5603648.9
795,3164347.03,4476177.18,6381876.37,6900464.29
796,5328750.45,6741190.33,5569507.25,5874485.62
797,5912483.76,7432177.55,5911959.42,5176537.65
798,1660803.3,2181387.6,1932268.66,1884395.1
799,5192365.1,8389666.26,8204456.75,12850941.16
800,9345812.0,11915204.42,13891660.13,11717558.85
801,4428752.78,6781208.06,6187980.21,5932278.55
802,4270677.15,4892179.09,6248239.67,6764346.55
803,1559594.2,1922349.94,2170147.87,1930013.79
806,2709979.41,4463084.64,1683260.41,1655319.1
807,9426967.65,11856518.87,11394892.11,10933301.39
809,1938259.54,2433134.31,2218688.58,1921763.71
810,5395632.83,11085632.05,8581172.27,8349368.27
811,3376213.29,5955738.39,5766356.36,5030866.69
812,2315614.73,3172258.32,2842088.92,2225409.25
813,9919636.15,15365710.9,8233946.35,8417635.73
815,2138400.0,2740320.0,6445088.33,5339620.11
816,2044504.53,3073438.19,2538927.2,1964327.88
818,6187773.72,8219079.71,7139139.84,5970584.38
819,2395759.25,3044215.03,2569404.31,2364557.4
820,1608002.18,1901412.24,681746.9,451621.36
821,3148862.83,4445383.43,3747615.35,3213117.16
822,4341195.84,5388453.39,4547066.98,4054766.42
823,4187979.99,5449743.2,5030945.2,5621557.76
825,23581746.57,29163899.14,23183021.39,21872863.88
826,12339699.28,18365814.26,13978886.39,11237300.19
828,7765181.85,10000140.48,9532358.44,8461657.33
829,5216648.31,6109336.79,5410260.03,5335892.2
830,14346982.7,21139839.82,15929524.58,14421490.54
831,8210040.77,12888881.21,15919828.16,12761365.64
833,1724074.2,2151311.88,1992515.58,2041654.8
835,1260043.2,1559909.25,1369085.4,1166145.75
836,4700862.85,5715959.2,5377303.16,4664455.07
837,2289682.75,3082041.16,2598469.48,2394512.62
838,1852262.99,2522364.96,2364322.05,1960545.93
839,13207054.27,23278902.78,15754408.95,14147616.0
848,7865699.84,8824765.55,8149700.34,7367016.03
850,3018823.96,4433897.7,4226353.55,3650890.23
851,4078521.87,5912143.05,5038026.55,4386853.05
852,4282809.06,5455198.13,5383419.21,4976671.98
856,3268800.0,4310730.0,2878360.0,2356260.0
858,193128824.3,360597999.7,447710884.9,492691065.2
859,2099647.44,4901641.74,3630042.69,3267761.16
860,18196114.84,34594871.21,34603430.04,38690566.15
861,5070771.06,6222962.47,5808116.69,5830223.79
862,1484004.55,3263807.31,3404186.12,2817603.24
863,3584482.33,4565402.05,5767835.73,6158257.79
868,2573577.75,2364909.28,1884971.81,2517927.93
869,11789980.8,14497141.78,14565160.9,13626497.04
875,4788057.68,6019274.51,6214705.5,5862922.89
876,30397091.82,55901892.86,73008712.7,72106077.57
877,6257471.18,10385119.81,10226702.73,9628238.2
878,11231988.21,14305558.76,15056246.49,14220575.24
880,972972.0,1252701.45,1122971.85,1070269.2
881,2070125.57,2877228.1,2467515.74,2184105.7
882,5535205.96,7198249.9,6329495.6,5609670.61
883,19619192.81,27253976.14,28229655.47,26473290.22
