date,mkt_rf,smb,hml,mom,rf
200705,0.109498091,-0.02948188,-0.00128966,0.006500172,0.002515
200706,-0.108953121,-0.11284551,-0.076290625,-0.006127492,0.002515
200707,0.197866554,0.081071163,0.038176507,-0.022344645,0.002734
200708,0.136314745,-0.022218248,0.01007799,0.007055819,0.002952
200709,0.049804094,-0.011854311,0.042648953,0.028400239,0.003169
200710,-0.052914062,-0.069543573,-0.059622988,0.077957414,0.003169
200711,-0.142034125,0.096439146,0.03363877,-0.128483805,0.003169
200712,0.181203081,0.023384643,0.005506157,-0.026332506,0.003386
200801,-0.093557516,0.037956614,0.002836174,-0.022418486,0.003386
200802,0.045188194,0.078109192,0.044817308,-0.039216775,0.003386
200803,-0.200644656,0.021534539,-0.014703542,-0.015948283,0.003386
200804,-0.022491322,-0.066660108,0.004066614,0.030907618,0.003386
200805,-0.058670177,0.039015755,0.020516071,-0.017518281,0.003386
200806,-0.241237929,-0.015866629,-0.038310371,0.016270229,0.003386
200807,0.04461198,0.081796387,0.00665063,-0.0418702,0.003386
200808,-0.218648931,-0.014591523,0.017338645,-0.024761796,0.003386
200809,-0.04266548,-0.070632359,0.048187204,-0.035994758,0.003386
200810,-0.27436229,0.02266192,0.011806599,0.021015087,0.002952
200811,0.165917526,0.045081732,-0.002302863,-0.036665848,0.002076
200812,0.006023308,0.071624628,-0.060561388,0.00143293,0.001856
200901,0.129778675,0.026987454,0.006192536,-0.142963929,0.001856
200902,0.060852635,0.02851164,0.017985348,-0.045881381,0.001856
200903,0.187482903,0.052162185,-0.016003313,-0.073892856,0.001856
200904,0.059568119,0.014883402,-0.001372627,-0.005914351,0.001856
200905,0.050067472,0.037415942,-0.002518665,-0.021550902,0.001856
200906,0.082215754,-0.023521178,-0.007910253,-0.013913804,0.001856
200907,0.169428862,-0.035476016,0.083080579,-0.076486572,0.001856
200908,-0.191407874,0.039844658,-0.061674172,-0.073566199,0.001856
200909,0.039351063,-0.011221658,-0.019390832,0.018001337,0.001856
200910,0.100174204,0.027478624,0.016869803,0.066275728,0.001856
200911,0.109136507,0.047896164,-0.00341834,-0.002976972,0.001856
200912,0.024385725,0.017992476,0.033305011,-0.053401869,0.001856
201001,-0.077271857,0.062518934,-0.042834358,-0.060812647,0.001856
201002,0.037326562,0.037710821,0.008886365,0.030775456,0.001856
201003,0.013742331,0.033552972,0.000531251,-0.003722202,0.001856
201004,-0.079029982,0.00785424,-0.041948921,0.054877178,0.001856
201005,-0.088813778,0.003617733,-0.051985579,0.062044747,0.001856
201006,-0.092540678,-0.010341724,-0.007173924,-0.028623293,0.001856
201007,0.144574194,0.023425274,0.006164562,-0.032995471,0.001856
201008,0.055620937,0.046047792,-0.062678194,0.095874538,0.001856
201009,0.024565909,-0.015780929,-0.030573054,0.040126718,0.001856
201010,0.118208161,-0.04289462,0.004950574,-0.066983948,0.00206
201011,-0.038399128,0.057817949,-0.045326681,0.073819722,0.00206
201012,-0.010862957,-0.002647455,0.015886985,-0.025101774,0.002263
201101,-0.025281149,-0.018186632,0.058677702,-0.095811576,0.002263
201102,0.061291238,0.041973749,-0.025180807,0.040563122,0.002466
201103,-0.005173147,0.015614807,0.027854133,-0.035838674,0.002466
201104,-0.022206191,-0.006813437,0.012436816,-0.045737977,0.002669
201105,-0.069725163,-0.00121463,-0.007424654,0.002749886,0.002669
201106,0.030028925,0.008266218,-0.011966143,0.055041176,0.002669
201107,-0.008025777,0.017982133,-0.054956806,0.012812058,0.002871
201108,-0.053867679,0.021474029,-0.029373313,0.003257542,0.002871
201109,-0.09773428,-0.016842361,0.034754141,-0.02753228,0.002871
201110,0.028418002,0.012245262,-0.003330456,-0.016700174,0.002871
201111,-0.053575812,0.010850796,-0.031872652,-0.00333574,0.002871
201112,-0.095650555,-0.067488209,0.053914897,0.07247939,0.002871
201201,0.025378046,-0.041625731,0.034057624,-0.033558667,0.002871
201202,0.079079773,0.044324243,-0.035857815,-0.073704898,0.002871
201203,-0.076928798,0.007313855,-0.003387665,0.042521312,0.002871
201204,0.058658912,-0.003276683,0.0170114,-0.049383073,0.002871
201205,0.002404701,0.015139744,-0.033414147,-0.007321181,0.002871
201206,-0.065198796,0.007498786,-0.021685897,0.056243093,0.002669
201207,-0.062506996,-0.039154518,0.005172498,0.05864388,0.002466
201208,-0.02820064,0.072258147,-0.00809969,-0.033374228,0.002466
201209,0.027462285,-0.032051633,-0.013271115,-0.008561054,0.002466
201210,-0.010768889,0.020019017,0.009911573,0.005874615,0.002466
201211,-0.076534192,-0.030299452,0.048038121,0.051681119,0.002466
201212,0.137511504,0.019212779,-0.003211651,-0.042426255,0.002466
201301,0.036602456,0.03524851,-0.009569432,-0.037048926,0.002466
201302,0.007606383,0.033134158,-0.021641507,0.025528718,0.002466
201303,-0.044611661,0.024949823,-0.024053674,0.051985304,0.002466
201304,-0.033286174,0.000186497,-0.005817797,0.009262484,0.002466
201305,0.085010427,0.070807574,-0.034248507,0.023323165,0.002466
201306,-0.14648536,-0.001364511,-0.018942112,0.062349154,0.002466
201307,0.040159671,0.038353711,0.002163095,0.055724976,0.002466
201308,0.055717008,0.032605631,0.015337216,-0.061863789,0.002466
201309,0.042687627,0.009820861,0.002475936,0.079086529,0.002466
201310,-0.028144088,0.009564228,0.031137368,-0.065356665,0.002466
201311,0.050120284,0.052446363,-0.011592439,0.036970295,0.002466
201312,-0.042490785,0.007396059,0.01238121,0.008905278,0.002466
201401,-0.018250782,0.070930942,-0.019360405,0.097836322,0.002466
201402,0.014606332,0.029804765,0.013928866,-0.032238694,0.002466
201403,-0.027861308,-0.006037538,0.028830674,-0.084190045,0.002466
201404,-0.014566472,0.005974526,0.004372264,-0.01809917,0.002466
201405,0.012622491,0.023216342,-0.001089381,0.014425737,0.002466
201406,0.025781915,0.034259532,-0.004473378,0.021542688,0.002466
201407,0.074689848,0.002429489,0.05151476,-0.064244241,0.002466
201408,0.027964195,0.045727256,-0.021406201,0.026691565,0.002466
201409,0.089599862,0.087182873,0.000380225,0.029064447,0.002466
201410,0.012590779,-0.000025441,0.016786065,-0.008368554,0.002466
201411,0.056812752,0.004275473,0.041462154,-0.024456337,0.002263
201412,0.092975208,-0.159300857,0.156388251,-0.078481245,0.002263
201501,0.039973549,0.023105582,-0.071206437,-0.102817075,0.002263
201502,0.051538213,0.026372789,-0.043141727,-0.02620475,0.002263
201503,0.171866771,0.082477203,-0.027977171,0.017301844,0.00206
201504,0.199267006,0.008069067,0.063276385,0.098754584,0.00206
201505,0.112851356,0.166370287,-0.178073583,-0.048005627,0.001856
201506,-0.090955813,-0.02938727,0.106784487,-0.123950308,0.001652
201507,-0.161367446,-0.055806516,-0.0121012,-0.057404248,0.001652
201508,-0.142969874,0.007176339,0.022240813,-0.046945061,0.001447
201509,-0.064062478,0.03422746,-0.047234167,-0.059169095,0.001447
201510,0.161309833,0.083130308,-0.059201341,-0.038325461,0.001241
201511,0.027922369,0.114213294,-0.028477701,-0.021551145,0.001241
201512,0.040962226,0.063944556,-0.003089057,-0.05266621,0.001241
201601,-0.265642281,-0.045160447,0.036313969,-0.098394694,0.001241
201602,-0.021069636,0.002808017,0.019607208,-0.024587421,0.001241
201603,0.144300833,0.061223818,-0.029451654,-0.027870562,0.001241
201604,-0.022252384,0.029230273,0.017936002,0.008632219,0.001241
201605,-0.011174602,-0.021010341,-0.016932996,-0.003451152,0.001241
201606,0.029095138,0.039693663,-0.028504033,0.023743223,0.001241
201607,0.016991233,-0.022249438,0.060113713,-0.040395756,0.001241
201608,0.034367533,0.032556072,0.013942147,-0.025836612,0.001241
201609,-0.020955463,0.036943697,0.013224086,-0.001321484,0.001241
201610,0.03232933,0.018133311,0.01617297,-0.006017501,0.001241
201611,0.037368632,0.004365119,0.035001503,-0.014029805,0.001241
201612,-0.045470529,0.027830734,0.036943642,0.016599275,0.001241
201701,0.005406684,-0.033630102,0.042500769,-0.006388089,0.001241
201702,0.029246286,0.011774257,0.004699046,-0.005003735,0.001241
201703,-0.006143635,-0.02476755,0.007900361,0.042981265,0.001241
201704,-0.025017243,-0.051865145,0.035104381,0.050449862,0.001241
201705,-0.038183962,-0.050537425,0.022224233,0.05666232,0.001241
201706,0.047917733,-0.019506713,-0.003422803,0.002110961,0.001241
201707,0.017809152,-0.014170813,0.06004528,0.029079352,0.001241
201708,0.018825863,0.003927367,-0.03100472,-0.043236878,0.001241
201709,0.015864064,-0.006304253,-0.027590981,-0.018037846,0.001241
201710,0.014896448,-0.053716822,-0.008393022,0.068415387,0.001241
201711,-0.034034412,-0.033677975,0.041998196,0.05530442,0.001241
201712,0.004600048,-0.030646447,-0.002624888,0.045204932,0.001241
201801,0.021190068,-0.056624378,0.059108351,0.069463756,0.001241
201802,-0.047200179,-0.01438971,-0.024858501,0.017659038,0.001241
201803,-0.005643193,0.040757183,-0.080993479,-0.105700519,0.001241
201804,-0.03700948,-0.008750165,-0.005548208,0.037824338,0.001241
201805,0.012117939,-0.034612047,-0.005937428,0.051244338,0.001241
201806,-0.08253197,-0.026895544,0.007535963,0.062659905,0.001241
201807,0.001450717,0.016170712,0.040223879,-0.039041445,0.001241
201808,-0.066005376,-0.002984652,0.028469323,0.01478646,0.001241
201809,0.018449238,-0.02681555,0.020559619,0.013992438,0.001241
201810,-0.111768233,0.031758588,0.035937145,-0.007237076,0.001241
201811,0.020878912,0.045551191,-0.020141872,-0.084985552,0.001241
201812,-0.039218518,-0.002470452,-0.005204285,0.030404303,0.001241
201901,0.021999832,-0.056640747,0.014641585,0.032744327,0.001241
201902,0.162340098,0.062332607,-0.034190379,-0.158153221,0.001241
201903,0.080544095,0.031652957,-0.024283002,-0.00791581,0.001241
201904,-0.017531237,-0.018504822,0.008557928,0.047709995,0.001241
201905,-0.060952921,0.012029275,-0.007794191,0.037783269,0.001241
201906,0.026107281,-0.037952913,-0.030069702,0.018512321,0.001241
201907,-0.006371846,-0.019334788,-0.019763281,0.006446958,0.001241
201908,0.00049243,-0.021503509,-0.067352226,0.058508509,0.001241
201909,0.002449799,0.016759278,-0.006866671,-0.015682714,0.001241
201910,0.002994179,-0.009766534,-0.016768291,0.034554491,0.001241
201911,-0.014367707,-0.01086585,0.009275504,-0.004724348,0.001241
201912,0.070332416,0.012882265,0.000494242,0.014335738,0.001241
202001,-0.003960627,0.018372516,-0.042092524,0.044845363,0.001241
202002,0.000787447,-0.000651907,-0.040707182,0.069050219,0.001241
202003,0.045544757,0.012514329,0.001958856,-0.001550609,0.001241
