,date,Reversal
151,2012-08-01,0.030307731201840427
152,2012-09-01,0.024935644911087216
153,2012-10-01,-0.03832004063415373
154,2012-11-01,0.02701916736599355
155,2012-12-01,0.009061493166432857
156,2013-01-01,-0.00265152022185575
157,2013-02-01,-0.024445279346356173
158,2013-03-01,0.015416669886291687
159,2013-04-01,-0.0025261001204956446
160,2013-05-01,-0.01752261210089051
161,2013-06-01,0.008450937787929762
162,2013-07-01,0.03001268131212055
163,2013-08-01,0.0015751294775406613
164,2013-09-01,0.04783828359319796
165,2013-10-01,0.016591169435495726
166,2013-11-01,-0.0006592079821682861
167,2013-12-01,-0.012908312198477195
168,2014-01-01,0.01159415035427913
169,2014-02-01,0.041709796743331876
170,2014-03-01,-0.014417026820710223
171,2014-04-01,0.014410792122138513
172,2014-05-01,-0.01825551189939613
