This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202108 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
197709,   -0.27,    1.43,   -0.46,    1.45,   -0.84,    0.43
197710,   -4.38,    1.48,    1.81,   -0.19,   -0.29,    0.49
197711,    4.00,    3.64,    0.23,   -0.13,    0.71,    0.50
197712,    0.27,    1.59,   -0.30,    0.91,   -0.69,    0.49
197801,   -6.01,    2.72,    3.36,   -1.70,    1.52,    0.49
197802,   -1.38,    3.70,    0.83,    0.33,    1.04,    0.46
197803,    2.85,    3.71,    1.16,   -0.59,    1.88,    0.53
197804,    7.88,   -0.27,   -3.57,    2.83,   -1.29,    0.54
197805,    1.76,    4.58,   -0.53,    0.24,    0.37,    0.51
197806,   -1.69,    1.56,    0.57,   -1.41,   -0.03,    0.54
197807,    5.11,    0.13,   -1.11,    1.55,   -0.79,    0.56
197808,    3.75,    4.95,   -0.57,    1.41,    0.44,    0.56
197809,   -1.43,   -0.31,    1.86,   -0.65,    1.80,    0.62
197810,  -11.91,  -10.07,    1.39,    0.18,    0.99,    0.68
197811,    2.71,    2.85,   -2.14,    1.11,   -1.19,    0.70
197812,    0.88,    1.12,   -2.13,    1.95,   -1.38,    0.78
197901,    4.23,    3.79,    2.20,   -2.49,    1.51,    0.77
197902,   -3.56,    0.54,    1.14,   -1.11,    0.96,    0.73
197903,    5.68,    3.20,   -0.73,    0.51,    0.28,    0.81
197904,   -0.06,    2.40,    1.08,    1.11,    0.21,    0.80
197905,   -2.21,    0.17,    1.32,   -1.55,   -0.27,    0.82
197906,    3.85,    0.99,    1.39,   -1.59,   -0.47,    0.81
197907,    0.82,    1.27,    1.86,   -0.28,    0.71,    0.77
197908,    5.53,    1.92,   -1.58,    1.60,   -1.47,    0.77
197909,   -0.82,   -0.33,   -0.90,    1.00,    0.32,    0.83
197910,   -8.10,   -3.51,   -1.86,    1.00,    0.10,    0.87
197911,    5.21,    2.53,   -3.28,    0.02,   -2.12,    0.99
197912,    1.79,    4.32,   -2.10,   -0.72,   -0.90,    0.95
198001,    5.51,    1.82,    1.75,   -1.69,    1.71,    0.80
198002,   -1.22,   -1.58,    0.61,    0.07,    2.70,    0.89
198003,  -12.90,   -6.92,   -1.01,    1.45,   -1.16,    1.21
198004,    3.97,    1.05,    1.08,   -2.06,    0.27,    1.26
198005,    5.26,    2.10,    0.38,    0.32,   -0.32,    0.81
198006,    3.06,    1.42,   -0.76,   -0.16,   -1.28,    0.61
198007,    6.49,    3.82,   -6.41,    4.05,   -2.38,    0.53
