Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2002/7/22,1,1712.02,1712.33,1678.5,1681.01,-0.019167
1,2002/7/23,2,1676.9,1684.66,1670.38,1673.86,-0.004253
1,2002/7/24,3,1673.68,1679.66,1667.44,1672.4,-0.000872
1,2002/7/25,4,1675.47,1682.89,1662.38,1665.11,-0.004359
1,2002/7/26,5,1665.09,1670.23,1656.82,1657.5,-0.00457
1,2002/7/29,1,1654.93,1665.96,1647.27,1665.67,0.004929
1,2002/7/30,2,1666.58,1672.12,1656.85,1669,0.001999
1,2002/7/31,3,1667.62,1671.48,1649.01,1651.59,-0.010431
1,2002/8/1,4,1650.05,1659.97,1639.23,1653.01,0.00086
1,2002/8/2,5,1653.64,1662.72,1653.17,1661.87,0.00536
1,2002/8/5,1,1661.4,1661.58,1652.4,1653.96,-0.00476
1,2002/8/6,2,1652.94,1679.81,1649.89,1670.62,0.010073
1,2002/8/7,3,1670.17,1670.81,1663.93,1668.07,-0.001526
1,2002/8/8,4,1668.51,1675.3,1657.47,1659.8,-0.004958
1,2002/8/9,5,1658.44,1658.77,1642.77,1647.05,-0.007682
1,2002/8/12,1,1642.48,1642.59,1633.09,1634.57,-0.007577
1,2002/8/13,2,1633.68,1642.41,1633.55,1636.63,0.00126
1,2002/8/14,3,1636.89,1647.09,1635.29,1646.72,0.006165
1,2002/8/15,4,1646.62,1647.07,1632.13,1634.37,-0.0075
1,2002/8/16,5,1632.96,1652.98,1624.05,1646.79,0.007599
1,2002/8/19,1,1645.93,1650.09,1641.4,1644.3,-0.001512
1,2002/8/20,2,1644.62,1673.92,1644.25,1671.35,0.016451
1,2002/8/21,3,1671.99,1677.95,1668.36,1673.55,0.001316
1,2002/8/22,4,1672.7,1696.28,1672.43,1686.11,0.007505
1,2002/8/23,5,1686.3,1688.12,1679.12,1683.21,-0.00172
1,2002/8/26,1,1682.14,1682.32,1668.82,1670.69,-0.007438
1,2002/8/27,2,1670.63,1680.06,1670.11,1679.69,0.005387
1,2002/8/28,3,1680.75,1683.51,1675.53,1676.77,-0.001738
1,2002/8/29,4,1676.86,1680.17,1665.72,1667.32,-0.005636
1,2002/8/30,5,1666.98,1669.14,1664.82,1666.62,-0.00042
1,2002/9/2,1,1666.34,1669.91,1663.17,1668.77,0.00129
1,2002/9/3,2,1669.59,1680.28,1669.58,1674.07,0.003176
